1 0.0 0.0
2 0.0 0.02
3 0.0 0.04
4 0.0 0.06
5 0.0 0.08
6 0.0 0.1
7 0.02 0.0
8 0.02 0.02
9 0.02 0.04
10 0.02 0.06
11 0.02 0.08
12 0.02 0.1
13 0.04 0.0
14 0.04 0.02
15 0.04 0.04
16 0.04 0.06
17 0.04 0.08
18 0.04 0.1
19 0.06 0.0
20 0.06 0.02
21 0.06 0.04
22 0.06 0.06
23 0.06 0.08
24 0.06 0.1
25 0.08 0.0
26 0.08 0.02
27 0.08 0.04
28 0.08 0.06
29 0.08 0.08
30 0.1 0.0
31 0.1 0.02
32 0.1 0.04
33 0.1 0.06
34 0.1 0.08
1 7 2 0.0
2 8 3 0.0
3 9 4 0.0
4 10 5 0.0
5 11 6 0.0
7 13 8 0.0
8 14 9 0.0
8 2 7 0.0
9 15 10 0.0
9 3 8 0.0
10 16 11 0.0
10 4 9 0.0
11 17 12 0.0
11 5 10 0.0
12 6 11 0.0
13 19 14 0.0
14 20 15 0.0
14 8 13 0.0
15 21 16 0.0
15 9 14 0.0
16 22 17 0.0
16 10 15 0.0
17 23 18 0.0
17 11 16 0.0
18 12 17 0.0
19 25 20 0.0
20 26 21 0.0
20 14 19 0.0
21 27 22 0.0
21 15 20 0.0
22 28 23 0.0
22 16 21 0.0
23 29 24 0.0
23 17 22 0.0
24 18 23 0.0
25 30 26 0.0
26 31 27 0.0
26 20 25 0.0
27 32 28 0.0
27 21 26 0.0
28 33 29 0.0
28 22 27 0.0
29 23 28 0.0
31 26 30 0.0
32 27 31 0.0
33 28 32 0.0
34 29 33 0.0
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
13 0.0
19 0.0
23 15.0
24 15.0
25 0.0
29 15.0
30 0.0
34 15.0
