B (T),H (A/m)
0,0
0.01,0.865843
0.02,1.69375
0.03,2.48862
0.04,3.25514
0.05,3.99777
0.06,4.72075
0.07,5.42813
0.08,6.12376
0.09,6.81128
0.1,7.49414
0.11,8.17562
0.12,8.8588
0.13,9.5466
0.14,10.2417
0.15,10.9468
0.16,11.6642
0.17,12.3962
0.18,13.1449
0.19,13.9122
0.2,14.7
0.21,15.5099
0.22,16.3435
0.23,17.2022
0.24,18.0873
0.25,19
0.26,19.9413
0.27,20.9122
0.28,21.9135
0.29,22.9461
0.3,24.0105
0.31,25.1075
0.32,26.2374
0.33,27.4006
0.34,28.5977
0.35,29.8287
0.36,31.094
0.37,32.3937
0.38,33.7279
0.39,35.0966
0.4,36.5
0.41,37.938
0.42,39.4104
0.43,40.9174
0.44,42.4587
0.45,44.0342
0.46,45.6438
0.47,47.2874
0.48,48.9649
0.49,50.676
0.5,52.4207
0.51,54.1988
0.52,56.0103
0.53,57.8551
0.54,59.733
0.55,61.6442
0.56,63.5885
0.57,65.5662
0.58,67.5772
0.59,69.6217
0.6,71.7
0.61,73.8123
0.62,75.959
0.63,78.1405
0.64,80.3572
0.65,82.6098
0.66,84.8989
0.67,87.2253
0.68,89.5898
0.69,91.9934
0.7,94.4371
0.71,96.9221
0.72,99.4497
0.73,102.021
0.74,104.638
0.75,107.303
0.76,110.016
0.77,112.78
0.78,115.597
0.79,118.47
0.8,121.4
0.81,124.39
0.82,127.444
0.83,130.563
0.84,133.751
0.85,137.011
0.86,140.347
0.87,143.762
0.88,147.26
0.89,150.846
0.9,154.522
0.91,158.295
0.92,162.167
0.93,166.146
0.94,170.234
0.95,174.438
0.96,178.764
0.97,183.217
0.98,187.803
0.99,192.528
1,197.4
