B (T),H (A/m)
0,0
0.01,8836.28
0.02,17218.4
0.03,25159.5
0.04,32672.5
0.05,39770.3
0.06,46465.2
0.07,52769.5
0.08,58695.3
0.09,64254.5
0.1,69458.7
0.11,74319.2
0.12,78847.2
0.13,83053.8
0.14,86949.7
0.15,90545.5
0.16,93851.5
0.17,96877.9
0.18,99634.6
0.19,102131
0.2,104378
0.21,106383
0.22,108157
0.23,109708
0.24,111044
0.25,112175
0.26,113110
0.27,113855
0.28,114419
0.29,114811
0.3,115037
0.31,115105
0.32,115023
0.33,114797
0.34,114435
0.35,113944
0.36,113330
0.37,112599
0.38,111758
0.39,110813
0.4,109770
0.41,108635
0.42,107414
0.43,106112
0.44,104734
0.45,103285
0.46,101771
0.47,100197
0.48,98567.2
0.49,96886.3
0.5,95158.8
0.51,93389.2
0.52,91581.5
0.53,89739.9
0.54,87868.3
0.55,85970.6
0.56,84050.3
0.57,82111
0.58,80156.2
0.59,78189.1
0.6,76212.9
0.61,74230.7
0.62,72245.3
0.63,70259.6
0.64,68276.3
0.65,66298
0.66,64327.1
0.67,62366
0.68,60416.9
0.69,58482
0.7,56563.4
0.71,54662.9
0.72,52782.4
0.73,50923.7
0.74,49088.4
0.75,47278
0.76,45494
0.77,43737.7
0.78,42010.5
0.79,40313.5
0.8,38647.8
0.81,37014.5
0.82,35414.5
0.83,33848.5
0.84,32317.5
0.85,30822.1
0.86,29362.9
0.87,27940.6
0.88,26555.5
0.89,25208.1
0.9,23898.8
0.91,22627.8
0.92,21395.3
0.93,20201.6
0.94,19046.6
0.95,17930.6
0.96,16853.4
0.97,15814.9
0.98,14815.2
0.99,13853.9
1,12931
1.01,12046
1.02,11198.8
1.03,10388.9
1.04,9616.08
1.05,8879.78
1.06,8179.58
1.07,7514.98
1.08,6885.44
1.09,6290.42
1.1,5729.31
1.11,5201.5
1.12,4706.35
1.13,4243.18
1.14,3811.31
1.15,3410.03
1.16,3038.61
1.17,2696.31
1.18,2382.37
1.19,2096.03
1.2,1836.5
1.21,1602.99
1.22,1394.71
1.23,1210.86
1.24,1050.64
1.25,913.242
1.26,797.861
1.27,703.699
1.28,629.96
1.29,575.854
1.3,540.6
1.31,523.428
1.32,523.578
1.33,540.306
1.34,572.882
1.35,620.595
1.36,682.754
1.37,758.689
1.38,847.751
1.39,949.32
1.4,1062.8
1.41,1187.63
1.42,1323.26
1.43,1469.21
1.44,1625
1.45,1790.2
1.46,1964.41
1.47,2147.3
1.48,2338.53
1.49,2537.86
1.5,2745.05
1.51,2959.94
1.52,3182.4
1.53,3412.36
1.54,3649.8
1.55,3894.76
1.56,4147.34
1.57,4407.68
1.58,4676
1.59,4952.57
1.6,5237.75
1.61,5531.93
1.62,5835.59
1.63,6149.28
1.64,6473.61
1.65,6809.29
1.66,7157.07
1.67,7517.8
1.68,7892.42
1.69,8281.92
1.7,8687.4
1.71,9110.03
1.72,9551.08
1.73,10011.9
1.74,10493.9
1.75,10998.7
1.76,11527.9
1.77,12083.1
1.78,12666.3
1.79,13279.4
1.8,13924.3
1.81,14603.2
1.82,15318.5
1.83,16072.3
1.84,16867.1
1.85,17705.6
1.86,18590.4
1.87,19524.3
1.88,20510.1
1.89,21551.1
1.9,22650.2
