B (T),H (A/m)
0,0
0.01,0.546667
0.02,0.723325
0.03,0.539957
0.04,0.00654893
0.05,-0.866915
0.06,-2.07045
0.07,-3.59407
0.08,-5.4278
0.09,-7.56164
0.1,-9.98562
0.11,-12.6897
0.12,-15.664
0.13,-18.8985
0.14,-22.3832
0.15,-26.108
0.16,-30.0631
0.17,-34.2385
0.18,-38.6241
0.19,-43.21
0.2,-47.9861
0.21,-52.9426
0.22,-58.0694
0.23,-63.3565
0.24,-68.794
0.25,-74.3718
0.26,-80.08
0.27,-85.9086
0.28,-91.8476
0.29,-97.8871
0.3,-104.017
0.31,-110.227
0.32,-116.508
0.33,-122.849
0.34,-129.241
0.35,-135.674
0.36,-142.137
0.37,-148.62
0.38,-155.114
0.39,-161.609
0.4,-168.094
0.41,-174.559
0.42,-180.996
0.43,-187.393
0.44,-193.741
0.45,-200.029
0.46,-206.248
0.47,-212.388
0.48,-218.438
0.49,-224.39
0.5,-230.232
0.51,-235.954
0.52,-241.548
0.53,-247.002
0.54,-252.308
0.55,-257.454
0.56,-262.43
0.57,-267.228
0.58,-271.837
0.59,-276.246
0.6,-280.446
0.61,-284.428
0.62,-288.18
0.63,-291.693
0.64,-294.957
0.65,-297.963
0.66,-300.699
0.67,-303.156
0.68,-305.324
0.69,-307.193
0.7,-308.754
0.71,-309.995
0.72,-310.907
0.73,-311.481
0.74,-311.706
0.75,-311.571
0.76,-311.068
0.77,-310.187
0.78,-308.916
0.79,-307.247
0.8,-305.168
0.81,-302.671
0.82,-299.746
0.83,-296.381
0.84,-292.568
0.85,-288.296
0.86,-283.555
0.87,-278.336
0.88,-272.628
0.89,-266.422
0.9,-259.706
0.91,-252.472
0.92,-244.71
0.93,-236.409
0.94,-227.559
0.95,-218.151
0.96,-208.175
0.97,-197.62
0.98,-186.476
0.99,-174.734
1,-162.383
1.01,-149.414
1.02,-135.816
1.03,-121.58
1.04,-106.696
1.05,-91.1532
1.06,-74.942
1.07,-58.0525
1.08,-40.4746
1.09,-22.1984
1.1,-3.21388
1.11,16.489
1.12,36.9201
1.13,58.0895
1.14,80.0071
1.15,102.683
1.16,126.127
1.17,150.35
1.18,175.36
1.19,201.169
1.2,227.786
1.21,255.221
1.22,283.484
1.23,312.585
1.24,342.534
1.25,373.342
1.26,405.017
1.27,437.571
1.28,471.013
1.29,505.352
1.3,540.6
1.31,576.144
1.32,612.173
1.33,649.893
1.34,690.514
1.35,735.244
1.36,785.29
1.37,841.86
1.38,906.163
1.39,979.407
1.4,1062.8
1.41,1155.97
1.42,1257.89
1.43,1368.82
1.44,1489.01
1.45,1618.72
1.46,1758.18
1.47,1907.66
1.48,2067.41
1.49,2237.67
1.5,2418.7
1.51,2610.75
1.52,2814.07
1.53,3028.91
1.54,3255.53
1.55,3494.16
1.56,3745.07
1.57,4008.51
1.58,4284.73
1.59,4573.97
1.6,4876.5
1.61,5192.55
1.62,5522.39
1.63,5866.26
1.64,6224.42
1.65,6597.11
1.66,6984.59
1.67,7387.1
1.68,7804.91
1.69,8238.26
1.7,8687.4
1.71,9141.47
1.72,9593.75
1.73,10050.7
1.74,10518.8
1.75,11004.6
1.76,11514.4
1.77,12054.8
1.78,12632.3
1.79,13253.3
1.8,13924.3
1.81,14655.6
1.82,15446.2
1.83,16285.6
1.84,17163.5
1.85,18069.2
1.86,18992.4
1.87,19922.5
1.88,20849.2
1.89,21761.9
1.9,22650.2
