r,alpha,error
1,0.1,0.0342409
1.01,0.0955821,0.0328966
1.02,0.0913265,0.0316035
1.03,0.0872305,0.030361
1.04,0.0832909,0.0291683
1.05,0.0795046,0.0280246
1.06,0.075868,0.026929
1.07,0.0723775,0.0258806
1.08,0.0690295,0.0248785
1.09,0.0658201,0.0239215
1.1,0.0627454,0.0230087
1.11,0.0598014,0.0221391
1.12,0.0569842,0.0213113
1.13,0.0542896,0.0205245
1.14,0.0517135,0.0197774
1.15,0.0492521,0.0190689
1.16,0.0469011,0.0183979
1.17,0.0446566,0.0177632
1.18,0.0425146,0.0171637
1.19,0.0404713,0.0165982
1.2,0.0385228,0.0160657
1.21,0.0366652,0.015565
1.22,0.034895,0.0150951
1.23,0.0332085,0.0146549
1.24,0.0316021,0.0142433
1.25,0.0300726,0.0138593
1.26,0.0286164,0.0135019
1.27,0.0272305,0.0131701
1.28,0.0259117,0.012863
1.29,0.024657,0.0125796
1.3,0.0234634,0.012319
1.31,0.0223282,0.0120803
1.32,0.0212487,0.0118627
1.33,0.0202221,0.0116654
1.34,0.0192462,0.0114875
1.35,0.0183183,0.0113284
1.36,0.0174363,0.0111871
1.37,0.0165979,0.011063
1.38,0.0158011,0.0109555
1.39,0.0150437,0.0108638
1.4,0.0143238,0.0107872
1.41,0.0136397,0.0107253
1.42,0.0129895,0.0106773
1.43,0.0123716,0.0106427
1.44,0.0117844,0.0106209
1.45,0.0112262,0.0106114
1.46,0.0106958,0.0106138
1.47,0.0101916,0.0106274
1.48,0.00971234,0.0106518
1.49,0.00925681,0.0106866
1.5,0.00882378,0.0107313
1.51,0.00841212,0.0107856
1.52,0.00802075,0.010849
1.53,0.00764864,0.0109211
1.54,0.00729481,0.0110016
1.55,0.00695834,0.0110901
1.56,0.00663835,0.0111863
1.57,0.00633399,0.0112898
1.58,0.00604449,0.0114004
1.59,0.00576908,0.0115177
1.6,0.00550705,0.0116415
1.61,0.00525773,0.0117715
1.62,0.00502047,0.0119074
1.63,0.00479465,0.012049
1.64,0.00457971,0.0121961
1.65,0.00437509,0.0123483
1.66,0.00418028,0.0125056
1.67,0.00399477,0.0126676
1.68,0.0038181,0.0128343
1.69,0.00364984,0.0130053
1.7,0.00348954,0.0131805
1.71,0.00333683,0.0133598
1.72,0.00319131,0.0135429
1.73,0.00305263,0.0137297
1.74,0.00292045,0.01392
1.75,0.00279445,0.0141138
1.76,0.00267431,0.0143107
1.77,0.00255976,0.0145108
1.78,0.00245051,0.0147139
1.79,0.00234631,0.0149198
1.8,0.0022469,0.0151285
1.81,0.00215205,0.0153398
1.82,0.00206153,0.0155535
1.83,0.00197515,0.0157697
1.84,0.00189269,0.0159882
1.85,0.00181396,0.0162088
1.86,0.00173879,0.0164316
1.87,0.001667,0.0166564
1.88,0.00159843,0.0168831
1.89,0.00153292,0.0171116
1.9,0.00147033,0.0173419
1.91,0.00141052,0.0175739
1.92,0.00135336,0.0178075
1.93,0.00129872,0.0180426
1.94,0.00124648,0.0182792
1.95,0.00119653,0.0185172
1.96,0.00114876,0.0187566
1.97,0.00110307,0.0189972
1.98,0.00105936,0.019239
1.99,0.00101754,0.019482
